COD_IBGE;MUNICIPIO;COD_REGIAO_COVID;REGIAO_COVID;BAIRRO;QUANTIDADE_CASOS
430060;ALVORADA;7;PORTO ALEGRE - R10;JD MARINGA;2
430060;ALVORADA;7;PORTO ALEGRE - R10;JD N S APARECIDA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JD N SRA DE FATIMA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JD NOVA ALVORADA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JD NS APARECIDA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JD POA;21
430060;ALVORADA;7;PORTO ALEGRE - R10;JD PORTIO ALEGRE;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JD PORTO ALEGRE;53
430060;ALVORADA;7;PORTO ALEGRE - R10;JD PORTO VERDE;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JD PROMORAR;2
430060;ALVORADA;7;PORTO ALEGRE - R10;JD REPRISE;2
430060;ALVORADA;7;PORTO ALEGRE - R10;JD TRES FIGUEIRAS;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JD. ALGARVE;5
430060;ALVORADA;7;PORTO ALEGRE - R10;JD. ALVORADA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JD. APARECIDA;2
430060;ALVORADA;7;PORTO ALEGRE - R10;JD. ESPLANADA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JD. PORTO ALEGRE;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JD. PORTO ALEGRE.;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JD.ALVORADA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JDALVORADA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JDIM PORTO ALEGRE;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JDM ALGARVE;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JR ALGARVE;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JRD ALGARVE;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JRD APARECIDA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JRDIM APARECIDA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JS APARECIDA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;JUNDIAI;19
430060;ALVORADA;7;PORTO ALEGRE - R10;JURUA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;LOMBA DO PINHEIRO;3
430060;ALVORADA;7;PORTO ALEGRE - R10;LOMBA TARUMA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;LOT AGUA VIVA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;LOT UMBU;2
430060;ALVORADA;7;PORTO ALEGRE - R10;M REGINA;5
430060;ALVORADA;7;PORTO ALEGRE - R10;M. REGINA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;MAERICANA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;MAINGA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;MARA MATILDE;1
430060;ALVORADA;7;PORTO ALEGRE - R10;MARAI REGINA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;MARECHAL RONDON;1
430060;ALVORADA;7;PORTO ALEGRE - R10;MARI REGINA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;MARIA  REGINA;2
430060;ALVORADA;7;PORTO ALEGRE - R10;MARIA EGINA;2
430060;ALVORADA;7;PORTO ALEGRE - R10;MARIA RAGINA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;MARIA REGIN;2
430060;ALVORADA;7;PORTO ALEGRE - R10;MARIA REGINA;2023
430060;ALVORADA;7;PORTO ALEGRE - R10;MARIA REGINAS;1
430060;ALVORADA;7;PORTO ALEGRE - R10;MARIA REGNA;2
430060;ALVORADA;7;PORTO ALEGRE - R10;MARIA REINA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;MARIAB REGINA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;MARIGA;4
430060;ALVORADA;7;PORTO ALEGRE - R10;MARILUZ;1
430060;ALVORADA;7;PORTO ALEGRE - R10;MARINAGA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;MARING'A;2
430060;ALVORADA;7;PORTO ALEGRE - R10;MARINGA;884
